FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,CILINDRADA_ITV
"27022026","0","","PIAGGIO","VESPA PRIMAVERA 125","Illes Balears","124"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","BMW","R 1300 GS ADVENTURE","Tarragona","1300"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","HONDA","ADV350A","Granada","330"
"27022026","0","","YAMAHA","MT-07","Madrid","689"
"27022026","0","","HONDA","NSS350A","Palmas (Las)","330"
"27022026","0","","HONDA","ADV350A","Castellón/Castelló","330"
"27022026","0","","HONDA","FORZA125","Badajoz","125"
"27022026","0","","BENDA","DARKFLAG 500","Barcelona","496"
"27022026","0","","LETBE","FLYGON","Tarragona","125"
"27022026","0","","APRILIA","SR GT 125","Murcia","125"
"27022026","0","","HONDA","SH125i","Álava/Araba","125"
"27022026","0","","YAMAHA","XTZ 700 Tenere","Murcia","689"
"27022026","0","","QJMOTOR","SRT 700 E5+","Zaragoza","698"
"27022026","0","","QJMOTOR","SRT 700 X E5+","Madrid","698"
"27022026","0","","PIAGGIO","MEDLEY 125","Illes Balears","125"
"27022026","0","","BMW","F 900 R A2","Sevilla","895"
"27022026","0","","VOGE","SR1","Illes Balears","125"
"27022026","0","","SYM","SYMPHONY 125","Palmas (Las)","125"
"27022026","0","","HONDA","PCX125","Granada","125"
"27022026","0","","VOGE","SR16","Barcelona","125"
"27022026","0","","BMW","R 1300 RT","Valencia/València","1300"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","ROYAL ENFIELD","HIMALAYAN 452","Madrid","452"
"27022026","0","","KAWASAKI","VERSYS 650","Madrid","649"
"27022026","0","","KOVE","KOVE 800 X PRO","Sevilla","799"
"27022026","0","","KYMCO","SUPER DINK GT 125 E5+","Alicante/Alacant","124"
"27022026","0","","BMW","R 1300 RS","Valencia/València","1300"
"27022026","0","","VOGE","SR1ADV","Málaga","125"
"27022026","0","","HONDA","SH Mode 125","Barcelona","125"
"27022026","0","","RIEJU","RALLY 307","Burgos","292"
"27022026","0","","MORBIDELLI","NR125X","Asturias","125"
"27022026","0","","YAMAHA","XP560D","Madrid","562"
"27022026","0","","ZONTES","125C","Barcelona","125"
"27022026","0","","VOGE","DS800X RALLY","Valladolid","798"
"27022026","0","","RIEJU","NOT APPLICABLE","Sevilla","124"
"27022026","0","","VOGE","DS800X RALLY","Cuenca","798"
"27022026","0","","DUCATI","MULTISTRADA V2","Cáceres","890"
"27022026","0","","BMW","S 1000 R","Salamanca","999"
"27022026","0","","HUSQVARNA","HUSQVARNA FE 450","Barcelona","450"
"27022026","0","","HONDA","ADV350A","Zaragoza","330"
"27022026","0","","CFMOTO","700MT","Madrid","693"
"27022026","0","","ZONTES","368G","Alicante/Alacant","368"
"27022026","0","","HONDA","SH350A","Barcelona","330"
"27022026","0","","ZONTES","368G","Bizkaia","368"
"27022026","0","","YAMAHA","NMAX125","Bizkaia","125"
"27022026","0","","HONDA","PCX125","Bizkaia","125"
"27022026","0","","YAMAHA","WR125","Sevilla","125"
"27022026","0","","HONDA","CB650RA","Palmas (Las)","649"
"27022026","0","","KAWASAKI","Z900","Santa Cruz de Tenerife","948"
"27022026","0","","YAMAHA","XP560","Madrid","562"
"27022026","0","","ZONTES","125D","Granada","125"
"27022026","0","","HONDA","CMX500A","Palmas (Las)","471"
"27022026","0","","HONDA","SH125i","Barcelona","125"
"27022026","0","","ROYAL ENFIELD","HIMALAYAN 452","Bizkaia","452"
"27022026","0","","APRILIA","RS 125","Valencia/València","124"
"27022026","0","","HARLEY-DAVIDSON","STREET BOB","Madrid","1923"
"27022026","0","","SUZUKI","AN400","Barcelona","400"
"27022026","0","","SUZUKI","UB125L","Barcelona","124"
"27022026","0","","HONDA","SH125i","Málaga","125"
"27022026","0","","DUCATI","MULTISTRADA V2","Zaragoza","890"
"27022026","0","","HARLEY-DAVIDSON","SPORTSTER S","Toledo","1252"
"27022026","0","","YAMAHA","XMAX125","Cádiz","125"
"27022026","0","","KOVE","KOVE 800 X PRO","Soria","799"
"27022026","0","","KAWASAKI","Z650","Cádiz","649"
"27022026","0","","CECOTEC","CECOTEC SHARK RS","Barcelona","0"
"27022026","0","","MOTO MORINI","X-CAPE","Barcelona","649"
"27022026","0","","HONDA","PCX125","Cádiz","125"
"27022026","0","","HONDA","CB500XA","Barcelona","471"
"27022026","0","","VOGE","DS800X RALLY","Girona","798"
"27022026","0","","BENDA","NAPOLEON 125","Ávila","125"
"27022026","0","","KYMCO","AGILITY S","Cádiz","125"
"27022026","0","","YAMAHA","NMAX125","Málaga","125"
"27022026","0","","KYMCO","SKYTOWN 125","Cádiz","125"
"27022026","0","","HONDA","ADV350A","Córdoba","330"
"27022026","0","","CFMOTO","450MT","Málaga","449"
"27022026","0","","BMW","F 800 GS","Barcelona","895"
"27022026","0","","KAWASAKI","KLE500","Córdoba","451"
"27022026","0","","HONDA","SH125i","Barcelona","125"
"27022026","0","","VOGE","DS900X","Cádiz","895"
"27022026","0","","SUZUKI","UB125L","Málaga","124"
"27022026","0","","ITALJET","DRAGSTER125","Palmas (Las)","124"
"27022026","0","","VOGE","DS800X RALLY","Zaragoza","798"
"27022026","0","","VOGE","625DSX","Asturias","581"
"27022026","0","","ZONTES","125E","Valencia/València","125"
"27022026","0","","HONDA","NSS350A","Madrid","330"
"27022026","0","","BMW","C 400 X","Valladolid","350"
"27022026","0","","HONDA","VISION 110","Tarragona","109"
"27022026","0","","HONDA","CB125F","Málaga","124"
"27022026","0","","HONDA","FORZA125","Palmas (Las)","125"
"27022026","0","","SUZUKI","UZ125","Sevilla","124"
"27022026","0","","KEEWAY","RKS 125","Madrid","124"
"27022026","0","","BMW","R 1300 GS","Barcelona","1300"
"27022026","0","","PIAGGIO","MEDLEY 125","Palmas (Las)","125"
"27022026","0","","KEEWAY","VIESTE 125","Badajoz","125"
"27022026","0","","MITT","TY125T-26F","Palmas (Las)","125"
"27022026","0","","HONDA","FORZA125","Granada","125"
"27022026","0","","MOTO MORINI","X-CAPE","Barcelona","649"
"27022026","0","","SYM","SYMPHONY 125","Málaga","125"
"27022026","0","","YAMAHA","MTN890","Navarra","890"
"27022026","0","","HONDA","XL750 Transalp","Granada","755"
"27022026","0","","TRIUMPH","TRIDENT 800","Cádiz","798"
"27022026","0","","VOGE","DS800X RALLY","Madrid","798"
"27022026","0","","ZONTES","368G","Girona","368"
"27022026","0","","KAWASAKI","VERSYS 1100","Cádiz","1099"
"27022026","0","","VOGE","R125","Alicante/Alacant","125"
"27022026","0","","KTM","KTM 300 EXC","Jaén","293"
"27022026","0","","KAWASAKI","Z1100","Murcia","1099"
"27022026","0","","YAMAHA","MTN125-A","Valencia/València","125"
"27022026","0","","HONDA","PCX125","Badajoz","125"
"27022026","0","","YAMAHA","NMAX125","Santa Cruz de Tenerife","125"
"27022026","0","","HONDA","SH350A","Gipuzkoa","330"
"27022026","0","","HONDA","SH125i","Málaga","125"
"27022026","0","","YAMAHA","YZF890-U","Valencia/València","890"
"27022026","0","","HONDA","ADV350A","Barcelona","330"
"27022026","0","","CFMOTO","450MT","Málaga","449"
"27022026","0","","KTM","KTM 125 DUKE","Cádiz","125"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","SYM","SYMPHONY 125","Alicante/Alacant","125"
"27022026","0","","HONDA","ADV350A","Barcelona","330"
"27022026","0","","VOGE","SR1ADV","Palmas (Las)","125"
"27022026","0","","ZONTES","368G","Albacete","368"
"27022026","0","","VELCA","JSQ1","Sevilla","0"
"27022026","0","","YAMAHA","XTZ 700 Tenere","Cádiz","689"
"27022026","0","","VOGE","SR16","Málaga","125"
"27022026","0","","ZONTES","368G","Barcelona","368"
"27022026","0","","VOGE","DS800X RALLY","Alicante/Alacant","798"
"27022026","0","","VOGE","R125","Palmas (Las)","125"
"27022026","0","","HONDA","SH350A","Málaga","330"
"27022026","0","","BMW","R 1300 GS","Barcelona","1300"
"27022026","0","","YAMAHA","MT-09","Cádiz","890"
"27022026","0","","HONDA","PCX125","León","125"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","HONDA","ADV350A","Sevilla","330"
"27022026","0","","PIAGGIO","VESPA PRIMAVERA 125","Alicante/Alacant","124"
"27022026","0","","ROYAL ENFIELD","INTERCEPTOR BEAR 650","Córdoba","648"
"27022026","0","","BMW","R 1300 GS ADVENTURE","Barcelona","1300"
"27022026","0","","CYCLONE","CARRERA 125","Valencia/València","125"
"27022026","0","","HONDA","PCX125","Barcelona","125"
"27022026","0","","YAMAHA","XMAX125","Barcelona","125"
"27022026","0","","HONDA","CB500XA","Barcelona","471"
"27022026","0","","BMW","F 900 R","Alicante/Alacant","895"
"27022026","0","","HONDA","NT1100","Badajoz","1084"
"27022026","0","","VOGE","DS800X RALLY","Cádiz","798"
"27022026","0","","HONDA","PCX125","Castellón/Castelló","125"
"27022026","0","","APRILIA","SR GT 125","Córdoba","125"
"27022026","0","","HONDA","PCX125","Bizkaia","125"
"27022026","0","","KAWASAKI","Z900","Madrid","948"
"27022026","0","","KYMCO","SKYTOWN 125","Alicante/Alacant","125"
"27022026","0","","YAMAHA","XP560","Alicante/Alacant","562"
"27022026","0","","YAMAHA","CZD300D-A","Coruña (A)","292"
"27022026","0","","PIAGGIO","VESPA GTS","Illes Balears","310"
"27022026","0","","YAMAHA","XP560","Valencia/València","562"
"27022026","0","","YAMAHA","XMAX125","Málaga","125"
"27022026","0","","YAMAHA","MT-07","Tarragona","689"
"27022026","0","","HONDA","SH125i","Madrid","125"
"27022026","0","","SYM","JET 14","Madrid","125"
"27022026","0","","KAWASAKI","NINJA ZX-6R","Murcia","636"
"27022026","0","","KAWASAKI","KLE500","Barcelona","451"
"27022026","0","","CFMOTO","675NK","Madrid","674"
"27022026","0","","HONDA","ADV750","Granada","745"
"27022026","0","","BMW","C 400 GT","Segovia","350"
"27022026","0","","YAMAHA","NMAX125","Málaga","125"
"27022026","0","","BENELLI","LEONCINO 125","Jaén","125"
"27022026","0","","KTM","KTM 390 ENDURO R","Navarra","399"
"27022026","0","","PIAGGIO","VESPA PRIMAVERA 125","Cádiz","124"
"27022026","0","","SUZUKI","UB125L","Alicante/Alacant","124"
"27022026","0","","ZONTES","368G","Cádiz","368"
"27022026","0","","BMW","R 1300 RT","Navarra","1300"
"27022026","0","","YAMAHA","NMAX125","Illes Balears","125"
"27022026","0","","HONDA","SH125i","Barcelona","125"
"27022026","0","","VOGE","SR1ADV","Barcelona","125"
"27022026","0","","QJMOTOR","FORT 125 N E5+","Málaga","125"
"27022026","0","","KAWASAKI","Z900","Cádiz","948"
"27022026","0","","SYM","JET X","Toledo","125"
"27022026","0","","HONDA","ADV350A","Tarragona","330"
"27022026","0","","EFUN","TIGER 100","Navarra","0"
"27022026","0","","HONDA","FORZA125","Madrid","125"
"27022026","0","","WOTTAN","GT2","Illes Balears","278"
"27022026","0","","YAMAHA","NMAX125","Valencia/València","125"
"27022026","0","","HONDA","FORZA125","Barcelona","125"
"27022026","0","","HONDA","XL750 Transalp","Palmas (Las)","755"
"27022026","0","","HONDA","ADV750","Valencia/València","745"
"27022026","0","","MACBOR","EIGHT MILE 125 LC","Barcelona","124"
"27022026","0","","BMW","R 1300 RT","Alicante/Alacant","1300"
"27022026","0","","ZONTES","368G","Tarragona","368"
"27022026","0","","YAMAHA","NMAX125","Pontevedra","125"
"27022026","0","","RIEJU","RALLY 307","Pontevedra","292"
"27022026","0","","MOTO GUZZI","V85 TT TRAVEL","Santa Cruz de Tenerife","853"
"27022026","0","","HONDA","PCX125","Sevilla","125"
"27022026","0","","YAMAHA","MT-07","Palmas (Las)","689"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","VOGE","DS800X RALLY","Madrid","798"
"27022026","0","","HONDA","ADV350A","Santa Cruz de Tenerife","330"
"27022026","0","","HONDA","CBF125NA","Sevilla","125"
"27022026","0","","SYM","ADX 125 LC TCS E5+","Barcelona","125"
"27022026","0","","VOGE","R125","Illes Balears","125"
"27022026","0","","VELCA","EON","Salamanca","0"
"27022026","0","","HONDA","FORZA125","Tarragona","125"
"27022026","0","","VOGE","DS900X","Segovia","895"
"27022026","0","","QJMOTOR","FORT 125 N E5+","Barcelona","125"
"27022026","0","","VOGE","DS800X RALLY","Zaragoza","798"
"27022026","0","","HONDA","SH125i","Gipuzkoa","125"
"27022026","0","","QJMOTOR","MTX 125 E5+","Palmas (Las)","125"
"27022026","0","","VOGE","DS800X RALLY","Zamora","798"
"27022026","0","","HONDA","ADV350A","Barcelona","330"
"27022026","0","","QJMOTOR","SRK 125 S E5+","Barcelona","125"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","KAWASAKI","VULCAN S","Córdoba","649"
"27022026","0","","HONDA","PCX125","Granada","125"
"27022026","0","","HONDA","CBF125NA","Barcelona","125"
"27022026","0","","YAMAHA","XTZ 700 Tenere","Valencia/València","689"
"27022026","0","","KAWASAKI","Z1100","Palmas (Las)","1099"
"27022026","0","","ZONTES","368G","Madrid","368"
"27022026","0","","YAMAHA","NMAX125","Madrid","125"
"27022026","0","","HONDA","ADV750","Zaragoza","745"
"27022026","0","","KTM","KTM 350 EXC-F","Barcelona","350"
"27022026","0","","HONDA","PCX125","Girona","125"
"27022026","0","","HONDA","PCX125","Palmas (Las)","125"
"27022026","0","","KEEWAY","VIESTE 125","Huelva","125"
"27022026","0","","KAWASAKI","NINJA 500","Zaragoza","451"
"27022026","0","","KAWASAKI","NINJA 1100SX","Huelva","1099"
"27022026","0","","CECOTEC","CECOTEC SHARK RS","Murcia","0"
"27022026","0","","KYMCO","AGILITY S","Jaén","125"
"27022026","0","","KAWASAKI","ELIMINATOR","Madrid","451"
"27022026","0","","HONDA","FORZA125","Málaga","125"
"27022026","0","","YAMAHA","RayZR 125","Asturias","125"
"27022026","0","","YAMAHA","NMAX125","Barcelona","125"
"27022026","0","","CYCLONE","RA125 PLUS","Pontevedra","124"
"27022026","0","","KTM","KTM 125 ENDURO","Burgos","125"
"27022026","0","","WOTTAN","GT2","Valencia/València","125"
"27022026","0","","QJMOTOR","FORT 125 N E5+","Barcelona","125"
"27022026","0","","VOGE","DS900X","Barcelona","895"
"27022026","0","","KAWASAKI","ELIMINATOR","Coruña (A)","451"
"27022026","0","","BENELLI","TRK 702","Navarra","698"
"27022026","0","","MOTO MORINI","X-CAPE","Barcelona","649"
"27022026","0","","HONDA","ADV350A","Valencia/València","330"
"27022026","0","","KYMCO","AGILITY S","Madrid","125"
"27022026","0","","VOGE","625DSX","Girona","581"
"27022026","0","","BMW","R 1300 GS","Barcelona","1300"
"27022026","0","","HONDA","FORZA125","Murcia","125"
"27022026","0","","YAMAHA","XMAX125","Valencia/València","125"
"27022026","0","","HONDA","ADV350A","Granada","330"
"27022026","0","","HONDA","PCX125","Valencia/València","125"
"27022026","0","","YAMAHA","NMAX125","Málaga","125"
"27022026","0","","HONDA","CRF1100","Alicante/Alacant","1084"
"27022026","0","","HONDA","CB500XA","Lleida","471"
"27022026","0","","MOTO MORINI","SEIEMMEZZO","Valencia/València","649"
"27022026","0","","YAMAHA","XMAX125","Albacete","125"
"27022026","0","","HONDA","FORZA125","Zaragoza","125"
"27022026","0","","BAJAJ","PULSAR NS 125","Illes Balears","124"
"27022026","0","","HONDA","SH125i","Barcelona","125"
"27022026","0","","HONDA","ADV350A","Valencia/València","330"
"27022026","0","","BMW","R 1300 GS","Barcelona","1300"
"27022026","0","","HONDA","PCX125","Barcelona","125"
"27022026","0","","HONDA","CRF300LRA","Girona","286"
"27022026","0","","ZONTES","703RR","Guadalajara","699"
"27022026","0","","ZONTES","703RR","Palmas (Las)","699"
"27022026","0","","QJMOTOR","FORT 4.0 E5+","Sevilla","350"
"27022026","0","","HONDA","SH Mode 125","Granada","125"
"27022026","0","","VOGE","SR3","Alicante/Alacant","244"
"27022026","0","","HONDA","CBR650RAC","Valencia/València","649"
"27022026","0","","ZONTES","703F","Albacete","699"
"27022026","0","","CYCLONE","RX1 PRO","Almería","124"
"27022026","0","","YAMAHA","NMAX125","Madrid","125"
"27022026","0","","HONDA","NSS750","Palmas (Las)","745"
"27022026","0","","YAMAHA","MTT690D-S","Valencia/València","689"
"27022026","0","","CFMOTO","450MT","Álava/Araba","449"
"27022026","0","","HONDA","SH Mode 125","Barcelona","125"
"27022026","0","","HONDA","ADV350A","Granada","330"
"27022026","0","","HONDA","SH125i","Málaga","125"
"27022026","0","","HONDA","NT1100","Madrid","1084"
"27022026","0","","HONDA","Z125MA","Tarragona","124"
"27022026","0","","BMW","S 1000 XR","Girona","999"
"27022026","0","","HONDA","PCX125","Gipuzkoa","125"
"27022026","0","","HONDA","PCX125","Alicante/Alacant","125"
"27022026","0","","PIAGGIO","VESPA PRIMAVERA 125","Barcelona","124"
"27022026","0","","NEXT","NX CROSS 125I","Barcelona","125"
"27022026","0","","YAMAHA","NMAX125","Sevilla","125"
"27022026","0","","YAMAHA","NMAX125","Alicante/Alacant","125"
"27022026","0","","BMW","S 1000 RR","Murcia","999"
"27022026","0","","YAMAHA","NMAX125","Madrid","125"
"27022026","0","","ZONTES","368G","Valladolid","368"
"27022026","0","","HONDA","CB750A","Valencia/València","755"
"27022026","0","","VOGE","DS800X RALLY","Madrid","798"
"27022026","0","","KTM","KTM 390 DUKE","Gipuzkoa","399"
"27022026","0","","BMW","R 1300 GS ADVENTURE","Asturias","1300"
"27022026","0","","KYMCO","AGILITY S","Madrid","125"
"27022026","0","","HONDA","ADV350A","Córdoba","330"
"27022026","0","","VOGE","DS800X RALLY","Madrid","798"
"27022026","0","","HONDA","ADV350A","Santa Cruz de Tenerife","330"
"27022026","0","","YAMAHA","NMAX125","Coruña (A)","125"
"27022026","0","","BMW","F 800 GS","Santa Cruz de Tenerife","895"
"27022026","0","","BMW","M 1000 XR","Coruña (A)","999"
"27022026","0","","BMW","F 900 R","Santa Cruz de Tenerife","895"
"27022026","0","","PIAGGIO","LIBERTY 125 ABS","Cádiz","124"
"27022026","0","","ZONTES","368G","Madrid","368"
"27022026","0","","YAMAHA","MTN890D","Barcelona","890"
"27022026","0","","APRILIA","SR GT 125","Alicante/Alacant","125"
"27022026","0","","HONDA","VISION 110","Barcelona","109"
"27022026","0","","KAWASAKI","NINJA ZX-6R","Zaragoza","636"
"27022026","0","","KEEWAY","VERSILIA 125","Asturias","125"
"27022026","0","","DUCATI","MULTISTRADA V4","Cádiz","1103"
"27022026","0","","HONDA","NSS350A","Granada","330"
"27022026","0","","BMW","C 400 GT","Barcelona","350"
"27022026","0","","HONDA","ADV750","Gipuzkoa","745"
"27022026","0","","KEEWAY","VERSILIA 125","Granada","125"
"27022026","0","","ZONTES","125D","Barcelona","125"
"27022026","0","","ZONTES","368G","Cantabria","368"
"27022026","0","","SUZUKI","GSX-S1000","Barcelona","999"
"27022026","0","","BMW","R 1300 RS","Navarra","1300"
"27022026","0","","BMW","S 1000 RR","Madrid","999"
"27022026","0","","BMW","R 1300 GS ADVENTURE","Cuenca","1300"
"27022026","0","","SYM","JET 14","Santa Cruz de Tenerife","125"
"27022026","0","","KYMCO","AGILITY S","Valencia/València","125"
"27022026","0","","KTM","KTM 690 ENDURO R","Murcia","693"
"27022026","0","","BMW","S 1000 R","Illes Balears","999"
"27022026","0","","DUCATI","MULTISTRADA V2","Madrid","890"
"27022026","0","","HONDA","CB500XA","Madrid","471"
"27022026","0","","CFMOTO","450MT","Barcelona","449"
"27022026","0","","YAMAHA","MTM890D","Illes Balears","890"
"27022026","0","","KAWASAKI","Z900","Barcelona","948"
"27022026","0","","BMW","F 900 XR","Tarragona","895"
"27022026","0","","SUZUKI","AN400","Murcia","400"
"27022026","0","","MACBOR","MONTANA XR1 125 EVO","Madrid","124"
"27022026","0","","VOGE","DS525X","Granada","494"
"27022026","0","","BMW","R 1300 GS","Barcelona","1300"
"27022026","0","","CECOTEC","VULCANO","Valencia/València","0"
"27022026","0","","BMW","R 1300 GS","Girona","1300"
"27022026","0","","BETA","N/A","Barcelona","125"
"27022026","0","","VOGE","DS525X","Alicante/Alacant","494"
"27022026","0","","HONDA","CRF1100","Murcia","1084"
"27022026","0","","SUZUKI","UZ125","Málaga","124"
"27022026","0","","KYMCO","DTX","Almería","321"
"27022026","0","","VOGE","DS900X","Sevilla","895"
"27022026","0","","KYMCO","AGILITY S","Madrid","125"
"27022026","0","","YAMAHA","MT-07","Granada","689"
"27022026","0","","ZONTES","368E","Bizkaia","368"
"27022026","0","","BMW","R 1300 GS ADVENTURE","Alicante/Alacant","1300"
"27022026","0","","HONDA","PCX125","Girona","125"
"27022026","0","","BMW","S 1000 XR","Barcelona","999"
"27022026","0","","ZONTES","125C","Murcia","125"
"27022026","0","","HONDA","PCX125","Cáceres","125"
"27022026","0","","QJMOTOR","SQ 16 E5+","Valencia/València","125"
"27022026","0","","VOGE","DS800X RALLY","León","798"
"27022026","0","","KAWASAKI","NINJA 650","Madrid","649"
"27022026","0","","VOGE","SR1ADV","Bizkaia","125"
"27022026","0","","HONDA","PCX125","Murcia","125"
"27022026","0","","KTM","KTM 390 ADVENTURE R","Gipuzkoa","399"
"27022026","0","","BMW","F 900 GS","Illes Balears","895"
"27022026","0","","HONDA","PCX125","Valencia/València","125"
"27022026","0","","YAMAHA","MT-07","Lugo","689"
"27022026","0","","BMW","CE04","Madrid","0"
"27022026","0","","KTM","KTM 390 ADVENTURE R","Madrid","399"
"27022026","0","","HONDA","PCX125","Cádiz","125"
"27022026","0","","PIAGGIO","MEDLEY 125","Palmas (Las)","125"
"27022026","0","","SYM","JET 14","Cádiz","125"
"27022026","0","","VOGE","DS800X RALLY","Navarra","798"
"27022026","0","","HONDA","PCX125","Tarragona","125"
"27022026","0","","PIAGGIO","LIBERTY 125 ABS","Sevilla","124"
"27022026","0","","HONDA","NSS750","Granada","745"
"27022026","0","","HONDA","SH125i","Cádiz","125"
"27022026","0","","VOGE","R125","Tarragona","125"
"27022026","0","","VOGE","DS800X RALLY","Barcelona","798"
"27022026","0","","MITT","125GTS","Barcelona","125"
"27022026","0","","BMW","F 900 XR A2","Asturias","895"
"27022026","0","","YAMAHA","MT-07","Málaga","689"
"27022026","0","","YAMAHA","MTN890D-U","Cantabria","890"
"27022026","0","","PIAGGIO","VESPA GTV","Guadalajara","310"
"27022026","0","","KAWASAKI","NINJA 125","Murcia","125"
"27022026","0","","VOGE","SR1","Asturias","125"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","YAMAHA","WR125","Sevilla","125"
"27022026","0","","YAMAHA","MT-07","Cantabria","689"
"27022026","0","","HONDA","CBR650RAC","Barcelona","649"
"27022026","0","","HONDA","FORZA125","Palmas (Las)","125"
"27022026","0","","SYM","JET 14","Asturias","125"
"27022026","0","","BMW","F 800 GS","Palmas (Las)","895"
"27022026","0","","VOGE","DS800X RALLY","Asturias","798"
"27022026","0","","HONDA","FORZA125","Sevilla","125"
"27022026","0","","HONDA","FORZA125","Álava/Araba","125"
"27022026","0","","HONDA","SH350A","Barcelona","330"
"27022026","0","","VOGE","DS800X RALLY","Córdoba","798"
"27022026","0","","YAMAHA","XTZ 700 Tenere","Málaga","689"
"27022026","0","","HONDA","CL500A","Barcelona","471"
"27022026","0","","HONDA","CBR650RA","Palmas (Las)","649"
"27022026","0","","ZONTES","125E","Barcelona","125"
"27022026","0","","MOTO MORINI","CALIBRO","Bizkaia","693"
"27022026","0","","KOVE","KOVE 800 X PRO","Lleida","799"
"27022026","0","","HONDA","CMX500A","Tarragona","471"
"27022026","0","","HONDA","ADV350A","Cantabria","330"
"27022026","0","","HONDA","ADV350A","Alicante/Alacant","330"
"27022026","0","","YAMAHA","MTN890D","Santa Cruz de Tenerife","890"
"27022026","0","","HONDA","PCX125","Badajoz","125"
"27022026","0","","HONDA","VISION 110","Madrid","109"
"27022026","0","","HONDA","PCX125","Cádiz","125"
"27022026","0","","ZONTES","125M","Bizkaia","125"
"27022026","0","","HONDA","SH125i","Barcelona","125"
"27022026","0","","QJMOTOR","FORT 125 N E5+","Madrid","125"
"27022026","0","","HONDA","PCX125","Madrid","125"
"27022026","0","","MORBIDELLI","SC125LX","Huelva","125"
"27022026","0","","VOGE","SR1ADV","Palmas (Las)","125"
"27022026","0","","HONDA","CB500XA","Granada","471"
"27022026","0","","BMW","S 1000 R","Madrid","999"
"27022026","0","","APRILIA","RS 660","Santa Cruz de Tenerife","659"
"27022026","0","","BMW","R 1300 GS","Valladolid","1300"
"27022026","0","","KAWASAKI","NINJA 125","Cádiz","125"
"27022026","0","","ZONTES","368D","Granada","368"
"27022026","0","","YAMAHA","MTT690","Pontevedra","689"
"27022026","0","","BMW","C 400 GT","Sevilla","350"
"27022026","0","","BMW","R 1300 GS","Barcelona","1300"
"27022026","0","","QJMOTOR","MTX 125 E5+","Illes Balears","125"
"27022026","0","","HONDA","ADV750","Girona","745"
"27022026","0","","BMW","R 1300 GS","Barcelona","1300"
"27022026","0","","SUZUKI","UB125L","Murcia","124"
"27022026","0","","ZONTES","368G","Barcelona","368"
