FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV
"04082026","0","","LETBE","ISLAND","Illes Balears","Illes Balears","125"
"04082026","0","","SYM","SYMPHONY 125","Girona","Cataluña","125"
"04082026","0","","VOGE","R125S","Alicante/Alacant","Comunidad Valenciana","125"
"04082026","0","","HONDA","ADV 750","Ciudad Real","Castilla-La Mancha","745"
"04082026","0","","YAMAHA","YZF-R3","Alicante/Alacant","Comunidad Valenciana","321"
"04082026","0","","MH MOTORCYCLES","TRAY","Córdoba","Andalucía","125"
"04082026","0","","HONDA","SH350i","Gipuzkoa","País Vasco","330"
"04082026","0","","HONDA","VISION 110","Valladolid","Castilla y León","109"
"04082026","0","","TRIUMPH","SPEED TWIN 900","Santa Cruz de Tenerife","Canarias","900"
"04082026","0","","ZONTES","368G","Asturias","Principado de Asturias","368"
"04082026","0","","JIAJUE","ROCKET 125","Barcelona","Cataluña","125"
"04082026","0","","YAMAHA","RayZR 125","Tarragona","Cataluña","125"
"04082026","0","","CYCLONE","RX2","Barcelona","Cataluña","124"
"04082026","0","","ZONTES","368K","Ciudad Real","Castilla-La Mancha","368"
"04082026","0","","ZONTES","368E","Gipuzkoa","País Vasco","368"
"04082026","0","","HONDA","PCX 125","Granada","Andalucía","125"
"04082026","0","","ZONTES","125E","Valencia/València","Comunidad Valenciana","125"
"04082026","0","","BMW","R 1300 GS ADVENTURE","Cantabria","Cantabria","1300"
"04082026","0","","HONDA","ADV 350","Barcelona","Cataluña","330"
"04082026","0","","HONDA","FORZA125","Sevilla","Andalucía","125"
"04082026","0","","ZONTES","125X","Bizkaia","País Vasco","125"
"04082026","0","","ZONTES","125C","Palmas (Las)","Canarias","125"
"04082026","0","","ZONTES","125X","Illes Balears","Illes Balears","125"
"04082026","0","","HONDA","FORZA 750","Valencia/València","Comunidad Valenciana","745"
"04082026","0","","HONDA","CB750 Hornet","Tarragona","Cataluña","755"
"04082026","0","","ZONTES","125X","Barcelona","Cataluña","125"
"04082026","0","","KYMCO","PEOPLE S 125 E5+","Barcelona","Cataluña","125"
"04082026","0","","HONDA","ADV 750","Bizkaia","País Vasco","745"
"04082026","0","","MITT","TY125T-58E","Huelva","Andalucía","125"
"04082026","0","","BAJAJ","PULSAR NS 400 Z","Madrid","Comunidad de Madrid","373"
"04082026","0","","ZONTES","368G","Málaga","Andalucía","368"
"04082026","0","","SYM","SYMPHONY 125","Ourense","Galicia","125"
"04082026","0","","KYMCO","AGILITY S","Barcelona","Cataluña","125"
"04082026","0","","ZONTES","125X","Barcelona","Cataluña","125"
"04082026","0","","HONDA","SH Mode 125","Illes Balears","Illes Balears","125"
"04082026","0","","VOGE","R125","Teruel","Aragón","125"
"04082026","0","","QJMOTOR","SRT 125 DX","Cantabria","Cantabria","125"
"04082026","0","","KYMCO","AGILITY S","Illes Balears","Illes Balears","125"
"04082026","0","","YAMAHA","NMAX 125","Madrid","Comunidad de Madrid","125"
"04082026","0","","ZONTES","125X","Bizkaia","País Vasco","125"
"04082026","0","","MOTO MORINI","CALIBRO","Madrid","Comunidad de Madrid","693"
